id,sede,edad,meses_en_programa,respuesta
38,Guayaquil,16,18,Me gustó
39,Lima,15,3,Mi tutora me ayudó a hablar con mis papás de algo que me daba mucho miedo contar
40,Lima,15,4,Bien
41,Guayaquil,17,4,Estuvo bueno 😊
42,Quito,14,6,"El ambiente es de respeto, eso se nota apenas entras"
43,Ciudad de México,16,4,Antes no pensaba en la universidad y ahora sí
44,Ciudad de México,16,12,Lo que cambiaría es que hubiera más práctica y menos teoría
45,Bogotá,15,12,Ahora tengo más confianza en mí misma
46,Quito,16,12,Deberían dar apoyo también para las materias de bachillerato técnico
47,Bogotá,16,9,Las reuniones con las familias son muy pocas
48,Quito,14,8,El aula es muy pequeña y hace mucho calor
49,Ciudad de México,13,10,Aprendí a convivir con gente muy distinta a mí
50,Quito,16,12,Aprendí sobre finanzas básicas y eso no lo enseñan en ningún lado
51,Ciudad de México,13,9,Hubo bullying en mi grupo y tardaron en darse cuenta
52,Guayaquil,14,8,"Faltó orientación sobre opciones técnicas, todo se enfoca a la universidad"
53,Ciudad de México,15,24,Las charlas de orientación vocacional fueron muy útiles
54,Lima,15,24,Cambiaría que los grupos fueran más pequeños
55,Bogotá,15,12,Quisiera más apoyo para el ingreso a la universidad
56,Ciudad de México,17,9,El taller de habilidades sociales me sirvió muchísimo
57,Lima,15,12,Conocí a personas que me entienden
58,Guayaquil,15,9,No sé
59,Bogotá,15,12,"Ahora tengo un plan, antes solo iba pasando los años"
60,Guayaquil,13,6,Faltan diccionarios y libros de consulta
61,Lima,13,10,Las clases son buenas pero el nivel a veces es muy bajo para los que vamos más adelantados
62,Bogotá,13,4,Somos demasiados y se pierde el orden
63,Quito,16,12,"Me gustaría poder hablar con mi tutora en privado más seguido, no solo en grupo"
64,Guayaquil,16,8,"Que no lo hagan los viernes, ese día nadie quiere venir"
65,Bogotá,16,9,Que los educadores sigan siendo así de cercanos
66,Lima,14,9,ok
67,Bogotá,16,3,Las tutorías académicas son útiles pero somos muchos en el aula y no alcanza la atención
68,Guayaquil,15,4,Dejé de compararme tanto con los demás
69,Bogotá,15,6,El compañerismo
70,Bogotá,14,3,Estaría bien poder recuperar las sesiones a las que uno falta
71,Guayaquil,16,9,"El espacio es acogedor, ahí sí no cambiaría nada"
72,Quito,14,9,todo bien
73,Quito,16,6,Aprobé el examen de admisión gracias a la preparación que recibí aquí
74,Bogotá,16,9,Las dinámicas de grupo son lo más divertido
75,Lima,17,6,Más visitas a universidades e institutos
76,Lima,15,12,Se acaba muy rápido el año
77,Lima,12,24,Al principio había problemas entre grupos pero se solucionó
78,Guayaquil,13,6,Me ayudó a recuperar las materias que tenía pendientes del año pasado
79,Bogotá,15,3,Lo mejor es que no te juzgan
80,Bogotá,16,18,El clima del grupo depende mucho de quién esté de tutor ese año
81,Ciudad de México,13,10,Mejoró mucho mi autoestima
82,Quito,14,6,Me ayudaron a conseguir prácticas
83,Ciudad de México,16,6,me siento mas seguro
84,Bogotá,14,18,Aprendí a trabajar en equipo
85,Ciudad de México,16,6,"Saqué mejores calificaciones este año, mi mamá está contenta"
86,Quito,17,3,Poner sesiones los sábados en la mañana
87,Quito,17,3,Descubrí que soy buena en cosas que no sabía
88,Ciudad de México,14,12,Falta comunicación cuando uno falta varios días seguidos
89,Lima,14,12,Más días a la semana
90,Ciudad de México,15,10,El acompañamiento personal es lo mejor del programa
91,Lima,15,12,"Aprendí a controlar mi carácter, antes me peleaba con todo el mundo"
92,Guayaquil,14,10,Lo mejor son los talleres de estudio. Cambiaría que a veces vamos muy rápido y no da tiempo a preguntar
93,Quito,15,6,Ahora entiendo álgebra. Antes copiaba de mis compañeros y no aprendía nada
94,Ciudad de México,14,6,Mi tutor me enseñó que equivocarse no es el fin del mundo
95,Quito,13,6,Me ayudaron a preparar la entrevista de mi primer trabajo
96,Guayaquil,15,6,"Cambiaría el horario, salimos muy tarde y luego llegar a casa es peligroso"
97,Lima,14,3,"Nada en particular en lo académico, ya iba bien, pero igual me gustó venir"
98,Guayaquil,15,18,Que avisen con más tiempo cuando se cambia el horario
99,Lima,15,12,Me siento parte de algo
100,Guayaquil,15,10,"Los materiales están bien pero llegan tarde, a veces a mitad de curso"
101,Guayaquil,13,3,Aprendí a buscar información y no quedarme con lo primero que sale en internet
102,Quito,13,24,"Deberían ampliar los horarios, solo dos días es poco"
103,Quito,14,3,Me gustaría que trajeran a gente que trabaje en las carreras que nos interesan
104,Lima,14,12,Aprendí a hacer una hoja de vida
105,Bogotá,13,8,Lo que más me aportó fue sentir que alguien creía en mí
106,Lima,13,9,"Muy bueno todo, gracias"
107,Ciudad de México,13,6,"Cambiaría la frecuencia, con una vez por semana no se avanza"
108,Bogotá,15,4,"Que avisen por WhatsApp, el correo no lo revisa nadie en mi casa"
109,Guayaquil,15,4,Las clases de apoyo son buenas pero deberían ser más específicas por materia
110,Lima,15,12,pase de año gracias al programa
111,Guayaquil,14,24,Mi papá pudo venir a una charla y le sirvió mucho
112,Lima,14,24,Más recursos tecnológicos
113,Ciudad de México,14,12,Mejoré mi promedio de 14 a 17
114,Guayaquil,14,18,Las clases empiezan tarde y luego hay que correr
115,Lima,15,12,La confianza que me dieron los educadores
116,Guayaquil,14,8,Deberían dar opción de horario en la mañana
117,Bogotá,16,4,Las sesiones son muy cortas
118,Guayaquil,16,10,xq
119,Bogotá,12,6,Muchos faltamos porque el horario no se ajusta a los que trabajamos
120,Ciudad de México,15,9,Me costaba mucho concentrarme y aquí aprendí técnicas que sí me funcionan
121,Guayaquil,13,8,"Más horas y menos días, o al revés, pero que se pueda elegir"
122,Quito,12,6,Mejoré en lectura comprensiva
123,Bogotá,16,12,"El apoyo en matemáticas es lo más valioso, cambiaría que hubiera más días"
124,Quito,14,18,"Ahora entiendo para qué sirve lo que estudio, antes no le veía sentido"
125,Quito,15,4,El horario de la tarde no me sirve porque cuido a mis hermanos
126,Bogotá,15,9,"Aprendí a pedir ayuda, que antes me daba vergüenza"
127,Ciudad de México,15,8,"Deberían dar los materiales impresos, no todos podemos imprimir en casa"
128,Lima,13,3,ninguna
129,Guayaquil,15,18,"Más actividades recreativas, no todo puede ser estudiar"
130,Bogotá,15,6,Ahora hago las tareas sin que me tengan que insistir
131,Guayaquil,16,3,"Antes me frustraba y abandonaba enseguida, ahora insisto más"
132,Lima,14,6,El grupo se volvió como una segunda familia
133,Guayaquil,13,12,El apoyo emocional. En mi casa nadie pregunta cómo me va
134,Ciudad de México,16,6,Siempre hubo alguien disponible cuando lo necesité
135,Lima,14,18,El acompañamiento es lo que hace que uno vuelva cada semana
136,Quito,14,24,me ayudo con las tareas
137,Bogotá,13,18,"Que haya refuerzo también en época de exámenes finales, que es cuando más se necesita"
138,Lima,15,6,Aprendí a manejar la ansiedad antes de los exámenes
139,Lima,13,12,Todo
140,Bogotá,13,18,"Everything was great, I would not change anything"
141,Bogotá,14,12,Lo mejor fue conocer gente de otros colegios
142,Lima,14,12,Aprendí a hablar sin gritar cuando algo me molesta
143,Lima,14,3,El espacio está bien pero hace falta un lugar para estudiar en silencio
144,Bogotá,15,10,Me ayudó a salir de un momento en el que no quería ni ir al colegio
145,Bogotá,13,12,"TODO ME PARECIO EXCELENTE, MUCHAS GRACIAS AL EQUIPO"
146,Ciudad de México,15,12,"Lo que cambiaría es que haya más tutores, uno para tantos chicos no alcanza"
147,Ciudad de México,12,3,"Que haya también en vacaciones, porque en esos meses se pierde todo lo avanzado"
148,Guayaquil,14,4,que pongan aire acondicionado por favor
149,Lima,14,12,Me ayudó a ver que sí puedo llegar a la universidad aunque en mi familia nadie fue
150,Ciudad de México,15,12,"Cambiaría que las sesiones sean más seguidas, cada quince días se olvida todo"
151,Quito,13,6,El taller de proyecto de vida me hizo pensar en serio
152,Guayaquil,14,3,Las actividades en equipo me enseñaron a escuchar
153,Lima,13,12,Cambiaría que los tutores tuvieran más tiempo para cada uno de nosotros
154,Ciudad de México,13,3,Hice amigos que todavía conservo
155,Quito,16,4,Cambiaría que hubiera más información sobre becas
156,Guayaquil,13,24,El horario choca con mi trabajo de los sábados
157,Bogotá,12,9,Don Marco siempre estuvo pendiente de mi asistencia y eso me hizo no abandonar
158,Quito,15,10,Me ayudó a decidir qué quiero estudiar
159,Lima,14,10,"Me gustaría que hubiera más apoyo en inglés, solo dan lo básico"
160,Bogotá,15,8,La comunicación con las familias es floja
161,Guayaquil,14,3,The tutors were very kind but the schedule was difficult for me
162,Bogotá,14,12,Las computadoras son viejísimas y se apagan solas
163,Bogotá,16,10,"Que expliquen mejor cómo se pide una beca, es muy complicado"
164,Lima,14,3,Tener a alguien que te pregunta cómo estás y de verdad le importa
165,Lima,14,24,Mejoré la forma de relacionarme con mi familia
166,Guayaquil,12,4,"Me gustaría que mezclaran menos las edades, los pequeños distraen mucho"
167,Bogotá,15,4,Lo que más valoro es la paciencia de los educadores
168,Lima,17,12,"Que arreglen el proyector, lleva meses roto"
169,Ciudad de México,14,3,"Aprendí a estudiar de otra forma, antes solo memorizaba"
170,Bogotá,15,6,Ahora me atrevo a hacer cosas que antes ni intentaba
171,Quito,15,12,"Aprendí que sí puedo, antes pensaba que era tonto"
172,Ciudad de México,16,4,Falta material para las actividades prácticas
173,Ciudad de México,17,3,Perdí el miedo a hablar en público
174,Bogotá,14,4,Los tutores nuevos no conocen nuestra situación y hay que explicar todo otra vez
175,Ciudad de México,14,6,"Más talleres de gestión emocional, eso pediría"
176,Lima,15,12,"Que no se vayan los profes que ya nos conocen, eso es lo que pediría"
177,Quito,16,18,"Mi tutora siempre me escuchó, eso fue lo más importante para mí"
178,Quito,15,6,"Los tutores son buenísimos pero cambian mucho, cada año tenemos uno distinto"
179,Ciudad de México,16,12,nada
180,Bogotá,12,4,Que manden un informe a la casa cada trimestre
181,Bogotá,15,8,"El refuerzo escolar me salvó, iba a repetir curso"
182,Quito,13,8,Me sentí acompañada en un momento muy difícil
183,Guayaquil,17,10,"Faltan computadoras, somos tres por máquina"
184,Quito,13,6,Descubrí carreras que ni sabía que existían
185,Lima,16,18,Ahora sé organizar mi tiempo para estudiar y no dejarlo todo para el final
186,Bogotá,14,6,Aprendí a reconocer cuando estoy mal y a pedir ayuda
187,Quito,14,3,Ya no pienso que soy un caso perdido
188,Bogotá,14,9,"El programa es bueno pero muy corto, se acaba justo cuando estás enganchado"
189,Bogotá,14,12,El tiempo de cada sesión debería ser más largo
190,Ciudad de México,17,12,Lo que más me aportó fue el refuerzo de lengua
191,Ciudad de México,13,18,"Cambiaría el mobiliario, las sillas son incomodísimas"
192,Ciudad de México,14,12,me queda lejos y el horario no me ayuda
193,Guayaquil,15,12,Me dio seguridad para defender mi opinión
194,Bogotá,12,4,"Aprendí a escribir mejor, ahora hasta me gusta redactar"
195,Bogotá,16,24,Necesitamos más libros y material actualizado
196,Ciudad de México,17,8,"Falta accesibilidad, mi compañero en silla de ruedas no puede subir al segundo piso"
197,Lima,15,24,"Aprendí a hacer resúmenes y esquemas, eso lo uso en todo"
198,Guayaquil,17,18,Deberían tener algún grupo virtual para los que vivimos lejos
199,Bogotá,15,6,"Me sirvió para entender física, que no entendía nada en el colegio"
200,Guayaquil,16,4,"Que hagan más talleres mezclando las sedes, estaría bueno conocer a los de otras ciudades"
201,Guayaquil,14,10,El lugar es bonito y limpio
202,Ciudad de México,14,4,El ambiente entre compañeros es muy bueno
203,Lima,14,24,"Todo excelente, no cambiaría nada"
204,Bogotá,14,6,El aula se comparte con otro grupo y hay mucho ruido
205,Ciudad de México,14,10,Me enseñaron a preparar exámenes con tiempo
206,Guayaquil,14,12,Mi tutor me ayudó cuando tuve problemas en casa y no sabía con quién hablar
207,Bogotá,17,3,Andrea fue la primera persona adulta que me tomó en serio
